<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.11.06	16:00:00	153.505	153.588	152.832	153.015	23711	0	0
2025.11.06	20:00:00	153.014	153.158	152.923	153.051	11797	0	0
2025.11.07	00:00:00	153.045	153.308	152.820	153.132	12552	0	0
2025.11.07	04:00:00	153.130	153.370	152.963	153.354	9755	0	0
2025.11.07	08:00:00	153.354	153.541	153.352	153.494	15070	0	0
2025.11.07	12:00:00	153.494	153.498	153.010	153.359	18914	0	0
2025.11.07	16:00:00	153.360	153.478	153.015	153.098	25779	0	0
2025.11.07	20:00:00	153.098	153.590	153.036	153.428	13007	0	0
2025.11.10	00:00:00	153.662	153.952	153.439	153.834	13787	0	0
2025.11.10	04:00:00	153.834	154.070	153.789	153.943	11475	0	0
2025.11.10	08:00:00	153.941	154.233	153.904	154.160	17929	0	0
2025.11.10	12:00:00	154.161	154.250	153.984	154.062	14522	0	0
2025.11.10	16:00:00	154.060	154.167	153.892	153.956	18442	0	0
2025.11.10	20:00:00	153.956	154.166	153.926	154.126	7734	0	0
2025.11.11	00:00:00	154.137	154.495	153.964	154.327	10776	0	0
2025.11.11	04:00:00	154.326	154.393	154.091	154.129	8973	0	0
2025.11.11	08:00:00	154.129	154.445	154.089	154.332	13743	0	0
2025.11.11	12:00:00	154.332	154.361	153.666	153.774	15646	0	0
2025.11.11	16:00:00	153.772	154.135	153.705	154.075	17461	0	0
2025.11.11	20:00:00	154.076	154.174	154.051	154.150	6532	0	0
2025.11.12	00:00:00	154.128	154.353	154.022	154.324	10164	0	0
2025.11.12	04:00:00	154.324	154.792	154.241	154.644	10849	0	0
2025.11.12	08:00:00	154.643	154.910	154.495	154.844	16155	0	0
2025.11.12	12:00:00	154.844	154.991	154.706	154.943	14728	0	0
2025.11.12	16:00:00	154.942	155.046	154.498	154.596	17837	0	0
2025.11.12	20:00:00	154.596	154.869	154.581	154.807	8940	0	0
2025.11.13	00:00:00	154.776	155.017	154.687	154.736	11091	0	0
2025.11.13	04:00:00	154.734	155.002	154.625	154.955	9957	0	0
2025.11.13	08:00:00	154.959	155.008	154.324	154.528	18387	0	0
2025.11.13	12:00:00	154.529	154.766	154.483	154.649	18174	0	0
2025.11.13	16:00:00	154.648	154.677	154.129	154.319	27547	0	0
2025.11.13	20:00:00	154.319	154.589	154.273	154.516	13873	0	0
2025.11.14	00:00:00	154.530	154.744	154.408	154.507	11884	0	0
2025.11.14	04:00:00	154.506	154.579	154.311	154.484	11057	0	0
2025.11.14	08:00:00	154.484	154.734	154.434	154.693	20217	0	0
2025.11.14	12:00:00	154.695	154.764	153.618	154.088	24477	0	0
2025.11.14	16:00:00	154.088	154.743	153.984	154.646	27595	0	0
2025.11.14	20:00:00	154.644	154.664	154.495	154.536	10943	0	0
2025.11.17	00:00:00	154.525	154.660	154.418	154.577	11210	0	0
2025.11.17	04:00:00	154.577	154.789	154.573	154.691	7975	0	0
2025.11.17	08:00:00	154.690	154.834	154.627	154.756	15168	0	0
2025.11.17	12:00:00	154.755	154.917	154.697	154.893	14897	0	0
2025.11.17	16:00:00	154.892	155.309	154.867	155.161	17738	0	0
2025.11.17	20:00:00	155.160	155.260	155.072	155.258	10662	0	0
2025.11.18	00:00:00	155.207	155.379	155.120	155.202	10168	0	0
2025.11.18	04:00:00	155.202	155.285	154.818	155.085	14706	0	0
2025.11.18	08:00:00	155.086	155.267	154.870	155.232	24892	0	0
2025.11.18	12:00:00	155.233	155.445	155.066	155.172	19603	0	0
2025.11.18	16:00:00	155.173	155.697	155.053	155.693	26963	0	0
2025.11.18	20:00:00	155.693	155.734	155.479	155.514	13129	0	0
2025.11.19	00:00:00	155.469	155.592	155.375	155.498	12188	0	0
2025.11.19	04:00:00	155.497	155.553	155.213	155.371	13646	0	0
2025.11.19	08:00:00	155.370	155.964	155.326	155.955	16774	0	0
2025.11.19	12:00:00	155.955	156.295	155.936	156.285	19443	0	0
2025.11.19	16:00:00	156.284	156.869	156.266	156.755	25123	0	0
2025.11.19	20:00:00	156.755	157.180	156.689	157.156	14752	0	0
2025.11.20	00:00:00	157.144	157.436	156.880	157.423	12930	0	0
2025.11.20	04:00:00	157.423	157.575	157.264	157.560	12787	0	0
2025.11.20	08:00:00	157.560	157.778	157.109	157.181	19658	0	0
2025.11.20	12:00:00	157.182	157.855	157.153	157.572	21504	0	0
2025.11.20	16:00:00	157.573	157.895	157.265	157.520	34968	0	0
2025.11.20	20:00:00	157.520	157.697	157.430	157.460	18890	0	0
2025.11.21	00:00:00	157.438	157.544	157.195	157.488	13550	0	0
2025.11.21	04:00:00	157.487	157.490	157.084	157.227	13945	0	0
2025.11.21	08:00:00	157.227	157.259	156.565	156.761	22246	0	0
2025.11.21	12:00:00	156.762	156.895	156.558	156.815	27648	0	0
2025.11.21	16:00:00	156.817	156.966	156.202	156.542	32503	0	0
2025.11.21	20:00:00	156.542	156.643	156.270	156.341	12385	0	0
2025.11.24	00:00:00	156.292	156.801	156.292	156.725	10286	0	0
2025.11.24	04:00:00	156.719	156.737	156.498	156.582	7182	0	0
2025.11.24	08:00:00	156.585	156.936	156.546	156.750	16937	0	0
2025.11.24	12:00:00	156.750	156.989	156.700	156.919	17431	0	0
2025.11.24	16:00:00	156.920	157.189	156.740	156.887	19421	0	0
2025.11.24	20:00:00	156.887	156.909	156.714	156.908	7632	0	0
2025.11.25	00:00:00	156.828	156.985	156.556	156.654	8583	0	0
2025.11.25	04:00:00	156.653	156.851	156.607	156.735	7178	0	0
2025.11.25	08:00:00	156.739	156.800	156.144	156.301	16150	0	0
2025.11.25	12:00:00	156.306	156.523	156.027	156.147	19699	0	0
2025.11.25	16:00:00	156.147	156.336	155.805	155.900	25677	0	0
2025.11.25	20:00:00	155.900	156.189	155.808	156.072	10227	0	0
2025.11.26	00:00:00	156.016	156.375	155.816	155.947	12040	0	0
2025.11.26	04:00:00	155.946	156.185	155.652	156.117	13128	0	0
2025.11.26	08:00:00	156.117	156.504	156.048	156.458	18717	0	0
2025.11.26	12:00:00	156.457	156.686	156.329	156.664	22669	0	0
2025.11.26	16:00:00	156.664	156.736	156.291	156.406	18863	0	0
2025.11.26	20:00:00	156.407	156.511	156.347	156.442	7153	0	0
2025.11.27	00:00:00	156.455	156.455	155.724	156.053	10102	0	0
2025.11.27	04:00:00	156.047	156.185	155.818	155.991	8239	0	0
2025.11.27	08:00:00	155.991	156.405	155.914	156.357	13258	0	0
2025.11.27	12:00:00	156.356	156.389	156.247	156.266	10917	0	0
2025.11.27	16:00:00	156.266	156.368	156.236	156.332	7262	0	0
2025.11.27	20:00:00	156.332	156.369	156.263	156.296	1931	0	0
2025.11.28	00:00:00	156.267	156.583	156.177	156.379	10059	0	0
2025.11.28	04:00:00	156.378	156.410	156.101	156.350	40885	0	0
2025.11.28	08:00:00	156.350	156.441	156.221	156.325	43787	0	0
2025.11.28	12:00:00	156.323	156.378	156.004	156.021	32535	0	0
2025.11.28	16:00:00	156.020	156.392	155.981	156.211	20174	0	0
2025.11.28	20:00:00	156.213	156.239	156.064	156.151	10184	0	0
2025.12.01	00:00:00	156.047	156.153	155.484	155.642	13159	0	0
2025.12.01	04:00:00	155.643	155.655	155.396	155.595	8537	0	0
2025.12.01	08:00:00	155.596	155.693	155.261	155.287	15764	0	0
2025.12.01	12:00:00	155.287	155.342	154.666	154.842	16684	0	0
2025.12.01	16:00:00	154.843	155.385	154.838	155.352	18135	0	0
2025.12.01	20:00:00	155.351	155.523	155.342	155.472	7013	0	0
2025.12.02	00:00:00	155.412	155.775	155.394	155.632	7228	0	0
2025.12.02	04:00:00	155.633	155.733	155.553	155.653	6212	0	0
2025.12.02	08:00:00	155.654	156.086	155.637	155.966	12421	0	0
2025.12.02	12:00:00	155.966	156.073	155.896	155.975	12011	0	0
2025.12.02	16:00:00	155.975	156.178	155.756	155.945	16540	0	0
2025.12.02	20:00:00	155.945	156.021	155.806	155.853	8954	0	0
2025.12.03	00:00:00	155.818	155.904	155.608	155.657	6272	0	0
2025.12.03	04:00:00	155.657	155.804	155.628	155.695	5256	0	0
2025.12.03	08:00:00	155.695	155.755	155.512	155.621	11748	0	0
2025.12.03	12:00:00	155.621	155.643	155.200	155.489	13607	0	0
2025.12.03	16:00:00	155.491	155.599	155.012	155.126	20781	0	0
2025.12.03	20:00:00	155.126	155.315	155.077	155.212	7029	0	0
2025.12.04	00:00:00	155.205	155.410	155.022	155.263	7702	0	0
2025.12.04	04:00:00	155.261	155.542	155.188	155.225	8162	0	0
2025.12.04	08:00:00	155.224	155.451	154.774	154.817	14658	0	0
2025.12.04	12:00:00	154.817	155.058	154.509	154.804	16118	0	0
2025.12.04	16:00:00	154.804	154.966	154.557	154.939	18032	0	0
2025.12.04	20:00:00	154.939	155.136	154.897	155.108	9976	0	0
2025.12.05	00:00:00	155.061	155.231	154.920	155.017	7689	0	0
2025.12.05	04:00:00	155.017	155.158	154.545	154.602	9166	0	0
2025.12.05	08:00:00	154.602	154.967	154.345	154.918	15596	0	0
2025.12.05	12:00:00	154.919	155.264	154.893	155.197	13783	0	0
2025.12.05	16:00:00	155.197	155.493	155.116	155.285	19992	0	0
2025.12.05	20:00:00	155.285	155.374	155.241	155.351	7937	0	0
2025.12.08	00:00:00	155.141	155.383	154.914	154.919	11060	0	0
2025.12.08	04:00:00	154.912	155.268	154.903	155.202	10903	0	0
2025.12.08	08:00:00	155.203	155.545	155.105	155.475	17970	0	0
2025.12.08	12:00:00	155.476	155.662	155.410	155.630	17809	0	0
2025.12.08	16:00:00	155.629	155.987	155.393	155.751	22330	0	0
2025.12.08	20:00:00	155.751	155.961	155.706	155.922	8327	0	0
2025.12.09	00:00:00	155.917	156.037	155.767	155.798	9264	0	0
2025.12.09	04:00:00	155.798	156.112	155.742	156.007	10205	0	0
2025.12.09	08:00:00	156.010	156.431	155.961	156.076	19085	0	0
2025.12.09	12:00:00	156.087	156.514	156.044	156.343	18490	0	0
2025.12.09	16:00:00	156.342	156.924	156.313	156.919	22114	0	0
2025.12.09	20:00:00	156.920	156.955	156.808	156.890	7408	0	0
2025.12.10	00:00:00	156.841	156.940	156.670	156.708	8871	0	0
2025.12.10	04:00:00	156.708	156.726	156.561	156.708	6826	0	0
2025.12.10	08:00:00	156.709	156.889	156.579	156.820	13755	0	0
2025.12.10	12:00:00	156.819	156.860	156.552	156.552	15104	0	0
2025.12.10	16:00:00	156.553	156.631	156.246	156.307	16594	0	0
2025.12.10	20:00:00	156.307	156.679	155.795	156.010	22067	0	0
2025.12.11	00:00:00	155.933	156.037	155.569	155.719	11513	0	0
2025.12.11	04:00:00	155.718	156.071	155.487	156.067	13075	0	0
2025.12.11	08:00:00	156.067	156.164	155.786	155.864	18289	0	0
2025.12.11	12:00:00	155.864	155.950	155.232	155.286	20274	0	0
2025.12.11	16:00:00	155.286	155.298	154.944	155.241	22970	0	0
2025.12.11	20:00:00	155.241	155.675	155.213	155.570	11525	0	0
2025.12.12	00:00:00	155.569	155.771	155.449	155.669	12092	0	0
2025.12.12	04:00:00	155.669	155.774	155.634	155.744	9141	0	0
2025.12.12	08:00:00	155.745	155.909	155.542	155.889	16171	0	0
2025.12.12	12:00:00	155.891	156.128	155.775	156.049	13805	0	0
2025.12.12	16:00:00	156.050	156.101	155.676	155.783	19070	0	0
2025.12.12	20:00:00	155.783	155.940	155.718	155.814	9338	0	0
2025.12.15	00:00:00	155.765	155.986	155.604	155.613	8954	0	0
2025.12.15	04:00:00	155.613	155.654	155.034	155.036	11513	0	0
2025.12.15	08:00:00	155.036	155.295	154.937	154.966	16667	0	0
2025.12.15	12:00:00	154.968	155.161	154.853	155.160	13493	0	0
2025.12.15	16:00:00	155.170	155.368	154.836	155.309	19324	0	0
2025.12.15	20:00:00	155.309	155.399	155.189	155.202	6259	0	0
2025.12.16	00:00:00	155.163	155.230	154.735	154.864	12638	0	0
2025.12.16	04:00:00	154.863	154.925	154.685	154.844	12232	0	0
2025.12.16	08:00:00	154.844	154.980	154.771	154.838	17476	0	0
2025.12.16	12:00:00	154.837	154.907	154.397	154.715	19646	0	0
