<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.09.29	12:00:00	0.64817	0.65010	0.64779	0.64934	10454	0	0
2023.09.29	16:00:00	0.64934	0.64946	0.64391	0.64406	16462	0	0
2023.09.29	20:00:00	0.64404	0.64404	0.64223	0.64352	8120	0	0
2023.10.02	00:00:00	0.64219	0.64452	0.64198	0.64294	4448	0	0
2023.10.02	04:00:00	0.64294	0.64356	0.64045	0.64046	5480	0	0
2023.10.02	08:00:00	0.64047	0.64262	0.63941	0.64050	9011	0	0
2023.10.02	12:00:00	0.64046	0.64073	0.63898	0.63902	8907	0	0
2023.10.02	16:00:00	0.63900	0.63922	0.63632	0.63653	17123	0	0
2023.10.02	20:00:00	0.63652	0.63759	0.63622	0.63633	7250	0	0
2023.10.03	00:00:00	0.63621	0.63670	0.63537	0.63626	4189	0	0
2023.10.03	04:00:00	0.63625	0.63632	0.63143	0.63173	8384	0	0
2023.10.03	08:00:00	0.63173	0.63318	0.63054	0.63225	10633	0	0
2023.10.03	12:00:00	0.63225	0.63229	0.62951	0.63023	10101	0	0
2023.10.03	16:00:00	0.63026	0.63177	0.62866	0.62990	21244	0	0
2023.10.03	20:00:00	0.62985	0.63069	0.62856	0.63015	7723	0	0
2023.10.04	00:00:00	0.62992	0.63150	0.62974	0.63107	4085	0	0
2023.10.04	04:00:00	0.63105	0.63243	0.62864	0.63202	9328	0	0
2023.10.04	08:00:00	0.63204	0.63261	0.63014	0.63231	12069	0	0
2023.10.04	12:00:00	0.63237	0.63425	0.63151	0.63369	13111	0	0
2023.10.04	16:00:00	0.63368	0.63409	0.63063	0.63304	18055	0	0
2023.10.04	20:00:00	0.63300	0.63336	0.63175	0.63245	9198	0	0
2023.10.05	00:00:00	0.63217	0.63465	0.63165	0.63441	3900	0	0
2023.10.05	04:00:00	0.63442	0.63778	0.63441	0.63723	7534	0	0
2023.10.05	08:00:00	0.63721	0.63724	0.63311	0.63324	9948	0	0
2023.10.05	12:00:00	0.63325	0.63511	0.63272	0.63429	11144	0	0
2023.10.05	16:00:00	0.63430	0.63604	0.63364	0.63584	17001	0	0
2023.10.05	20:00:00	0.63585	0.63738	0.63534	0.63706	6770	0	0
2023.10.06	00:00:00	0.63680	0.63743	0.63582	0.63680	2979	0	0
2023.10.06	04:00:00	0.63680	0.63819	0.63645	0.63677	6380	0	0
2023.10.06	08:00:00	0.63674	0.63707	0.63548	0.63642	9698	0	0
2023.10.06	12:00:00	0.63643	0.63671	0.63126	0.63257	12820	0	0
2023.10.06	16:00:00	0.63258	0.63950	0.63198	0.63793	23111	0	0
2023.10.06	20:00:00	0.63792	0.64003	0.63765	0.63847	6712	0	0
2023.10.09	00:00:00	0.63551	0.63803	0.63445	0.63803	6328	0	0
2023.10.09	04:00:00	0.63802	0.63809	0.63472	0.63483	7049	0	0
2023.10.09	08:00:00	0.63484	0.63629	0.63426	0.63596	10872	0	0
