time,open,high,low,close,volume
2026-03-23 02:00:00,1.15582,1.15648,1.15572,1.15621,2604.0
2026-03-23 03:00:00,1.15622,1.15644,1.15386,1.15444,4724.0
2026-03-23 04:00:00,1.15442,1.15618,1.15442,1.15544,5186.0
2026-03-23 05:00:00,1.15545,1.15574,1.1543,1.15467,3386.0
2026-03-23 06:00:00,1.15467,1.15504,1.15426,1.1547,2210.0
2026-03-23 07:00:00,1.15471,1.15515,1.15457,1.15505,1816.0
2026-03-23 08:00:00,1.15505,1.15525,1.15341,1.15341,2653.0
2026-03-23 09:00:00,1.15341,1.15342,1.15204,1.15305,4408.0
2026-03-23 10:00:00,1.15305,1.15403,1.15236,1.1527,4881.0
2026-03-23 11:00:00,1.1527,1.15462,1.1526,1.15297,6070.0
2026-03-23 12:00:00,1.15307,1.15338,1.14911,1.14948,5562.0
2026-03-23 13:00:00,1.14948,1.15013,1.14844,1.14856,5177.0
2026-03-23 14:00:00,1.14858,1.16191,1.14858,1.15565,16362.0
2026-03-23 15:00:00,1.15559,1.16145,1.15462,1.16126,12794.0
2026-03-23 16:00:00,1.16135,1.16153,1.158,1.15997,12140.0
2026-03-23 17:00:00,1.15997,1.164,1.1593,1.16154,11286.0
2026-03-23 18:00:00,1.16153,1.16312,1.15823,1.1586,10465.0
2026-03-23 19:00:00,1.15858,1.16007,1.15764,1.15911,8672.0
2026-03-23 20:00:00,1.15911,1.16096,1.15866,1.16018,6853.0
2026-03-23 21:00:00,1.16017,1.16374,1.15918,1.16351,5621.0
2026-03-23 22:00:00,1.1635,1.16353,1.16125,1.16134,3260.0
2026-03-23 23:00:00,1.16133,1.16152,1.16087,1.16103,1387.0
2026-03-24 00:00:00,1.16097,1.16141,1.16025,1.16139,488.0
2026-03-24 01:00:00,1.16139,1.16177,1.16085,1.16147,1476.0
2026-03-24 02:00:00,1.16147,1.1616,1.16059,1.16083,1630.0
2026-03-24 03:00:00,1.16083,1.16087,1.1581,1.15884,5140.0
2026-03-24 04:00:00,1.15884,1.1596,1.15783,1.15846,4371.0
2026-03-24 05:00:00,1.15845,1.15923,1.15829,1.1586,3544.0
2026-03-24 06:00:00,1.15859,1.15893,1.15814,1.15831,2364.0
2026-03-24 07:00:00,1.15831,1.15834,1.15757,1.15801,1791.0
2026-03-24 08:00:00,1.15801,1.15892,1.15757,1.15836,3642.0
2026-03-24 09:00:00,1.15836,1.15924,1.1579,1.15918,3769.0
2026-03-24 10:00:00,1.15913,1.16177,1.15893,1.16087,5503.0
2026-03-24 11:00:00,1.16087,1.16093,1.15816,1.15884,6015.0
2026-03-24 12:00:00,1.1589,1.1597,1.15786,1.15948,4793.0
2026-03-24 13:00:00,1.15949,1.15963,1.15832,1.15922,4022.0
2026-03-24 14:00:00,1.15922,1.16004,1.15789,1.15893,4516.0
2026-03-24 15:00:00,1.15895,1.15993,1.15812,1.15847,5121.0
2026-03-24 16:00:00,1.15847,1.15907,1.1567,1.15776,8198.0
2026-03-24 17:00:00,1.15776,1.16069,1.15775,1.15894,8524.0
2026-03-24 18:00:00,1.15892,1.15972,1.15758,1.15778,7741.0
2026-03-24 19:00:00,1.15778,1.15925,1.15741,1.15827,5034.0
2026-03-24 20:00:00,1.15826,1.15839,1.1557,1.1576,7498.0
2026-03-24 21:00:00,1.15761,1.15925,1.15676,1.15822,6428.0
2026-03-24 22:00:00,1.15822,1.15928,1.15821,1.15856,3153.0
2026-03-24 23:00:00,1.15854,1.16283,1.15828,1.16069,5720.0
2026-03-25 00:00:00,1.16064,1.16113,1.15959,1.16099,1085.0
2026-03-25 01:00:00,1.16096,1.16191,1.16045,1.16142,2014.0
2026-03-25 02:00:00,1.16142,1.16182,1.16087,1.16137,1864.0
2026-03-25 03:00:00,1.16137,1.16307,1.16125,1.16233,3950.0
2026-03-25 04:00:00,1.16232,1.16244,1.16119,1.16121,3657.0
2026-03-25 05:00:00,1.16122,1.16132,1.16012,1.16041,2388.0
2026-03-25 06:00:00,1.16041,1.16057,1.16007,1.16037,1561.0
2026-03-25 07:00:00,1.16037,1.16041,1.15973,1.15978,1549.0
2026-03-25 08:00:00,1.15978,1.15981,1.15889,1.15922,2240.0
2026-03-25 09:00:00,1.15921,1.15998,1.1587,1.15964,2347.0
2026-03-25 10:00:00,1.1596,1.16052,1.15885,1.15975,3791.0
2026-03-25 11:00:00,1.15977,1.16166,1.15906,1.16028,5400.0
2026-03-25 12:00:00,1.16028,1.16094,1.15913,1.15991,3828.0
2026-03-25 13:00:00,1.1599,1.16056,1.15959,1.16044,3172.0
2026-03-25 14:00:00,1.16045,1.16114,1.15941,1.16056,3677.0
2026-03-25 15:00:00,1.16057,1.16137,1.15863,1.15913,6465.0
2026-03-25 16:00:00,1.15913,1.15988,1.15717,1.15728,636.0
2026-03-25 17:00:00,1.15729,1.15878,1.15664,1.15859,1947.0
2026-03-25 18:00:00,1.15859,1.15893,1.15629,1.15699,6522.0
2026-03-25 19:00:00,1.157,1.15765,1.15553,1.15677,5326.0
2026-03-25 20:00:00,1.15677,1.15836,1.15647,1.15784,4010.0
2026-03-25 21:00:00,1.15783,1.1581,1.1561,1.15664,3140.0
2026-03-25 22:00:00,1.15664,1.15664,1.15592,1.15633,3140.0
2026-03-25 23:00:00,1.15633,1.15635,1.15557,1.15587,1287.0
2026-03-26 00:00:00,1.15581,1.1561,1.15556,1.15601,432.0
2026-03-26 01:00:00,1.15601,1.15626,1.1556,1.15604,1176.0
2026-03-26 02:00:00,1.15604,1.1562,1.15589,1.15614,727.0
2026-03-26 03:00:00,1.15614,1.15647,1.15539,1.15583,2056.0
2026-03-26 04:00:00,1.15582,1.15669,1.1558,1.15643,1740.0
2026-03-26 05:00:00,1.15642,1.15657,1.15547,1.15588,1650.0
2026-03-26 06:00:00,1.15587,1.15694,1.15579,1.15687,1356.0
2026-03-26 07:00:00,1.15686,1.15723,1.15674,1.15693,905.0
2026-03-26 08:00:00,1.15693,1.15698,1.15577,1.15579,1945.0
2026-03-26 09:00:00,1.15578,1.1567,1.15518,1.15666,2601.0
2026-03-26 10:00:00,1.15667,1.15667,1.15505,1.15538,2940.0
2026-03-26 11:00:00,1.15539,1.1561,1.15474,1.15597,4153.0
2026-03-26 12:00:00,1.15597,1.15649,1.15526,1.15596,3098.0
2026-03-26 13:00:00,1.15597,1.15651,1.15546,1.15572,2876.0
