<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.11.24	20:00:00	1.26074	1.26122	1.25977	1.26027	7421	0	0
2023.11.27	00:00:00	1.25985	1.26102	1.25913	1.26035	4809	0	0
2023.11.27	04:00:00	1.26035	1.26128	1.25911	1.26108	6011	0	0
2023.11.27	08:00:00	1.26108	1.26272	1.26040	1.26084	10341	0	0
2023.11.27	12:00:00	1.26086	1.26441	1.26021	1.26253	10968	0	0
2023.11.27	16:00:00	1.26254	1.26288	1.26008	1.26035	13915	0	0
2023.11.27	20:00:00	1.26035	1.26339	1.26017	1.26273	6311	0	0
2023.11.28	00:00:00	1.26255	1.26421	1.26199	1.26344	4988	0	0
2023.11.28	04:00:00	1.26344	1.26415	1.26218	1.26255	5635	0	0
2023.11.28	08:00:00	1.26255	1.26332	1.26067	1.26285	10606	0	0
2023.11.28	12:00:00	1.26291	1.26484	1.26082	1.26424	10847	0	0
2023.11.28	16:00:00	1.26424	1.27150	1.26356	1.26924	19620	0	0
2023.11.28	20:00:00	1.26923	1.27016	1.26730	1.26962	9108	0	0
2023.11.29	00:00:00	1.26925	1.27334	1.26885	1.27188	7108	0	0
2023.11.29	04:00:00	1.27187	1.27228	1.27061	1.27132	7370	0	0
2023.11.29	08:00:00	1.27131	1.27219	1.26740	1.26806	12527	0	0
2023.11.29	12:00:00	1.26804	1.27089	1.26741	1.26862	14001	0	0
2023.11.29	16:00:00	1.26861	1.27110	1.26648	1.26977	15811	0	0
2023.11.29	20:00:00	1.26978	1.27275	1.26904	1.26941	7679	0	0
2023.11.30	00:00:00	1.26940	1.27052	1.26874	1.26929	5294	0	0
2023.11.30	04:00:00	1.26928	1.27060	1.26908	1.26988	6262	0	0
2023.11.30	08:00:00	1.26988	1.27108	1.26483	1.26490	12410	0	0
2023.11.30	12:00:00	1.26486	1.26792	1.26227	1.26250	13916	0	0
2023.11.30	16:00:00	1.26254	1.26641	1.26033	1.26200	21091	0	0
2023.11.30	20:00:00	1.26200	1.26374	1.26122	1.26234	9004	0	0
2023.12.01	00:00:00	1.26211	1.26554	1.26111	1.26530	6894	0	0
2023.12.01	04:00:00	1.26530	1.26564	1.26332	1.26443	6299	0	0
2023.12.01	08:00:00	1.26442	1.26749	1.26291	1.26679	10895	0	0
2023.12.01	12:00:00	1.26679	1.26682	1.26274	1.26297	11417	0	0
2023.12.01	16:00:00	1.26294	1.26962	1.26138	1.26947	21990	0	0
2023.12.01	20:00:00	1.26948	1.27161	1.26922	1.27119	9401	0	0
2023.12.04	00:00:00	1.26848	1.27246	1.26675	1.26768	9428	0	0
2023.12.04	04:00:00	1.26768	1.26870	1.26718	1.26777	7378	0	0
2023.12.04	08:00:00	1.26777	1.26855	1.26567	1.26743	13374	0	0
2023.12.04	12:00:00	1.26744	1.26876	1.26530	1.26568	13346	0	0
2023.12.04	16:00:00	1.26568	1.26574	1.26039	1.26223	18643	0	0
2023.12.04	20:00:00	1.26224	1.26346	1.26054	1.26320	8022	0	0
2023.12.05	00:00:00	1.26286	1.26447	1.26241	1.26364	6032	0	0
2023.12.05	04:00:00	1.26364	1.26415	1.26280	1.26392	6257	0	0
2023.12.05	08:00:00	1.26392	1.26396	1.26063	1.26316	13925	0	0
2023.12.05	12:00:00	1.26313	1.26455	1.26166	1.26362	12846	0	0
2023.12.05	16:00:00	1.26362	1.26518	1.25824	1.25952	20371	0	0
2023.12.05	20:00:00	1.25953	1.25968	1.25775	1.25951	7380	0	0
2023.12.06	00:00:00	1.25899	1.26086	1.25851	1.26026	5501	0	0
2023.12.06	04:00:00	1.26026	1.26138	1.26000	1.26112	5766	0	0
2023.12.06	08:00:00	1.26112	1.26115	1.25912	1.26000	10910	0	0
2023.12.06	12:00:00	1.26000	1.26096	1.25818	1.25988	14290	0	0
2023.12.06	16:00:00	1.25988	1.26048	1.25766	1.25810	15428	0	0
2023.12.06	20:00:00	1.25806	1.25836	1.25519	1.25594	6745	0	0
2023.12.07	00:00:00	1.25583	1.25650	1.25534	1.25594	5245	0	0
2023.12.07	04:00:00	1.25594	1.25621	1.25446	1.25502	6438	0	0
2023.12.07	08:00:00	1.25502	1.25894	1.25465	1.25864	13469	0	0
2023.12.07	12:00:00	1.25864	1.25940	1.25491	1.25834	15347	0	0
2023.12.07	16:00:00	1.25836	1.26128	1.25456	1.26030	18978	0	0
2023.12.07	20:00:00	1.26030	1.26030	1.25834	1.25930	8729	0	0
2023.12.08	00:00:00	1.25875	1.26016	1.25741	1.25904	7873	0	0
2023.12.08	04:00:00	1.25906	1.25984	1.25865	1.25877	8515	0	0
