<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.02.08	12:00:00	0.91804	0.92122	0.91790	0.91973	9656	0	0
2023.02.08	16:00:00	0.91972	0.92171	0.91868	0.92004	14186	0	0
2023.02.08	20:00:00	0.92003	0.92117	0.91901	0.92093	6815	0	0
2023.02.09	00:00:00	0.92078	0.92187	0.91941	0.92062	6585	0	0
2023.02.09	04:00:00	0.92061	0.92070	0.91899	0.91943	4314	0	0
2023.02.09	08:00:00	0.91943	0.91996	0.91719	0.91835	9675	0	0
2023.02.09	12:00:00	0.91835	0.92014	0.91611	0.91615	9746	0	0
2023.02.09	16:00:00	0.91607	0.92110	0.91604	0.92021	12041	0	0
2023.02.09	20:00:00	0.92021	0.92286	0.92008	0.92219	8573	0	0
2023.02.10	00:00:00	0.92207	0.92317	0.92086	0.92253	3559	0	0
2023.02.10	04:00:00	0.92256	0.92374	0.92237	0.92282	4593	0	0
2023.02.10	08:00:00	0.92283	0.92438	0.91981	0.92297	15672	0	0
2023.02.10	12:00:00	0.92297	0.92440	0.92219	0.92317	10699	0	0
2023.02.10	16:00:00	0.92316	0.92505	0.92225	0.92480	15178	0	0
2023.02.10	20:00:00	0.92480	0.92531	0.92354	0.92358	5532	0	0
2023.02.13	00:00:00	0.92321	0.92597	0.92299	0.92518	5380	0	0
2023.02.13	04:00:00	0.92517	0.92586	0.92496	0.92539	4742	0	0
2023.02.13	08:00:00	0.92539	0.92548	0.92194	0.92326	10479	0	0
2023.02.13	12:00:00	0.92326	0.92346	0.92074	0.92298	8573	0	0
2023.02.13	16:00:00	0.92298	0.92344	0.91992	0.92026	11927	0	0
2023.02.13	20:00:00	0.92026	0.92062	0.91913	0.91934	4200	0	0
2023.02.14	00:00:00	0.91910	0.91960	0.91791	0.91839	4918	0	0
2023.02.14	04:00:00	0.91839	0.91883	0.91773	0.91787	4823	0	0
2023.02.14	08:00:00	0.91787	0.91864	0.91580	0.91636	10410	0	0
2023.02.14	12:00:00	0.91637	0.92035	0.91372	0.91779	14763	0	0
2023.02.14	16:00:00	0.91775	0.92340	0.91666	0.92191	26019	0	0
2023.02.14	20:00:00	0.92191	0.92233	0.92025	0.92169	10462	0	0
2023.02.15	00:00:00	0.92080	0.92207	0.92000	0.92194	5312	0	0
2023.02.15	04:00:00	0.92192	0.92393	0.92188	0.92374	5226	0	0
2023.02.15	08:00:00	0.92374	0.92482	0.92225	0.92235	11899	0	0
2023.02.15	12:00:00	0.92235	0.92596	0.92159	0.92440	14412	0	0
2023.02.15	16:00:00	0.92446	0.92625	0.92348	0.92538	16518	0	0
2023.02.15	20:00:00	0.92539	0.92589	0.92362	0.92373	7287	0	0
2023.02.16	00:00:00	0.92381	0.92405	0.92211	0.92234	6279	0	0
2023.02.16	04:00:00	0.92234	0.92279	0.92173	0.92234	5937	0	0
2023.02.16	08:00:00	0.92234	0.92338	0.92170	0.92247	8558	0	0
2023.02.16	12:00:00	0.92248	0.92616	0.92140	0.92473	11248	0	0
